[lark-cli] [WARN] proxy detected: HTTPS_PROXY=http://127.0.0.1:7890 — requests (including credentials) will transit through this proxy. Set LARK_CLI_NO_PROXY=1 to disable proxy.
`_record_id` is metadata for record operations, not a table field.

| _record_id | 融资名称 | 相关新闻 | 融资数额 | 交割日期 | 备注 | 融资单位 | 融资轮次 | 领投方 | 投后估值 | 跟投方 | 进度类型 | 融资负责人 |
| recvkiWaask7cd | Helical Fusion_A轮 |  | 23亿日元 | 2025-07-11 00:00:00 | 公告称含补助和贷款总资本达52亿日元。SBI Investment与庆应创新Initiative联合领投。 | [{"id":"recvk9ZmAnMw79"}] | ["A轮"] |  |  |  | ["交割完成"] |  |
| recvkiWaasfbcx | EX-Fusion_Pre-A |  | 11亿日元 | 2024-11-08 00:00:00 | 投资方含京都キャピタル（Miyako Capital）、Delight Ventures、千島土地（Chishima Land）；领投方公告未明确披露。 | [{"id":"recvk9ZmAnBntl"}] | ["Pre-A"] |  |  |  | ["交割完成"] |  |
| recvkiWaasZx2o | SHINE Technologies_条件贷款承诺 |  | 最高2.63亿美元 | 2026-04-09 00:00:00 | DOE公告为conditional commitment，不等同已经提款。 | [{"id":"recvk9ZmAnytmd"}] | ["条件贷款承诺"] | [] |  |  | ["条件承诺"] |  |
| recvkiWaaskgZr | EX-Fusion_A+ |  | 未披露 | 2025-10-14 00:00:00 | JX Advanced Metals披露参与EX-Fusion Series A Extension。 | [{"id":"recvk9ZmAnBntl"}] | ["A+"] | [{"id":"recvkiW31LeGTj"}] |  |  | ["交割完成"] |  |
| recvkjrOfZZBrI | SHINE Technologies_C+++ |  | 1.5亿美元 | 2021-06-28 00:00:00 |  | [{"id":"recvk9ZmAnytmd"}] | ["C+++"] | [] |  |  | ["交割完成"] |  |
| recvkjrOfZanXX | SHINE Technologies_政府资助 |  | 3200万美元 | 2024-07-17 00:00:00 | 用于Mo-99美国供应链建设。 | [{"id":"recvk9ZmAnytmd"}] | ["政府资助"] |  |  |  | ["交割完成"] |  |
| recvkjrOfZY9jz | SHINE Technologies_条件贷款承诺 |  | 最高2.63亿美元 | 2026-04-09 00:00:00 | DOE公告为conditional commitment，不等同已经提款。 | [{"id":"recvk9ZmAnytmd"}] | ["条件贷款承诺"] | [{"id":"recvkiW31LnqNW"}] |  |  | ["条件承诺"] |  |
| recvkjrOfZoioe | Avalanche Energy_融资轮 |  | 2900万美元 | 2026-02-01 00:00:00 | Fusion Energy Base报道，总融资超过8000万美元；待官方新闻稿补充。 | [{"id":"recvk9ZmAni8je"}] | ["融资轮"] | [] |  |  | ["交割完成"] |  |
| recvkjzA6CDXEQ | Marvel Fusion_B轮 |  | 6280万欧元 | 2024-10-30 00:00:00 |  | [{"id":"recvk9ZmAnSJ38"}] | ["B轮"] | [{"id":"recvkiW31L5mWE"}] |  | [] | ["交割完成"] |  |
| recvkjzA6Cp6l4 | Marvel Fusion_公私合作/项目资金 |  | 约1.5亿美元项目 | 2025-07-04 00:00:00 | 用于在科罗拉多州立大学建设petawatt级激光技术示范；项目资金而非单纯股权轮。 | [{"id":"recvk9ZmAnSJ38"}] | ["公私合作/项目资金"] |  |  | [] | ["交割完成"] |  |
| recvkjzA6CkqlL | Helion Energy_E轮 |  | 5亿美元，另有17亿美元里程碑承诺 | 2021-11-05 00:00:00 | 公司公告称Series E融资5亿美元，并包含与里程碑挂钩的额外17亿美元承诺。 | [{"id":"recvk9ZmAnsyR8"}] | ["E轮"] | [{"id":"recvjXdHtCSUwT"}] | 约30亿美元 | [] | ["交割完成"] |  |
| recvkjzA6ChXtA | Realta Fusion_A轮 |  | 3600万美元 | 2025-05-13 00:00:00 | Realta Fusion公告称该轮为超额认购Series A，用于推进紧凑模块化磁镜聚变能源。 | [{"id":"recvk9ZmAnYco4"}] | ["A轮"] | [{"id":"recvkiW31LCnkR"}] |  | [] | ["交割完成"] |  |
| recvkNQl7EXOd1 | 东昇聚变_Pre-A | [{"id":"recvkNVQ4LG9ne"}] | 数亿元 | 2026-05-27 00:00:00 |  | [{"id":"recvkiWh3zvbNB"}] | ["Pre-A"] | [{"id":"recvkNQd8lhcWu"}] |  | [{"id":"recvkPbrwU8psQ"},{"id":"recvkPbRPzGIJR"},{"id":"recvkPbRPz8Bng"},{"id":"recvkPbRPzA7S1"},{"id":"recvkPbRPzjG5n"},{"id":"recvkPbRPz1Bm1"},{"id":"recvjXetwO2VCz"},{"id":"recvjXdVRpGXRd"},{"id":"recvkPbRPzUWGS"}] |  |  |
| recvkNQl7EGMnb | 东昇聚变_天使轮 |  | 数亿元 | 2026-01-04 00:00:00 |  | [{"id":"recvkiWh3zvbNB"}] | ["天使轮"] |  |  | [{"id":"recvkNQd8lEFoZ"},{"id":"recvjXcD2Sjj3Q"},{"id":"recvkNQd8l38fh"},{"id":"recvjXdZga1Y2X"},{"id":"recvkNQd8lrZZN"},{"id":"recvkNQd8lrCYY"},{"id":"recvjXeuZ0eWUi"},{"id":"recvkNQd8lXlDN"},{"id":"recvjXbHr7jMeq"},{"id":"recvjRS3tS7s7b"},{"id":"recvkNQd8laJev"},{"id":"recvkRRVpB3rS0"},{"id":"recvkRRVpBqAao"}] |  |  |
| recvkPbys3NF5y | 中科聚变太赫兹_B+ | [{"id":"recvkPbFETgfTR"}] | 约1亿元 | 2026-03-27 00:00:00 |  | [{"id":"recvkPboXRfsN3"}] | ["B+"] |  |  | [{"id":"recvkNQd8lEFoZ"},{"id":"recvkPbrwUUa3s"},{"id":"recvkPbrwUXSvK"}] |  |  |
| recvkPbys3Tiv6 | 中科聚变太赫兹_B++ | [{"id":"recvkPbFETgfTR"}] | 数亿元 | 2026-05-24 00:00:00 |  | [{"id":"recvkPboXRfsN3"}] | ["B++"] | [{"id":"recvkPbrwUXSvK"}] |  | [{"id":"recvkPbrwU8psQ"},{"id":"recvkPbrwUgDxa"}] |  |  |
